1	Большое множество	115072	Бинарный поиск по ответу	Федоров К.Е.				
2	Бесконечная лента	115073	Сортировка событий и сканирующая точка	Федоров К.Е.				
3	Заправки	115071	Динамическое программирование (одномерное)	Федоров К.Е.				
4	Меч-кладенец	115074	Рекурсивный перебор	Федоров К.Е.				
5	Юра, Петя и Цезарь	115075		Федоров К.Е.				
6	Ориентация ребер	115076	Графы: DFS. Поиск циклов. Топологическая сортировка	Федоров К.Е.				
7	Вложенные отрезки	115070		Федоров К.Е.				
8	НЛО2	112547	Необычные "префиксы" (Hard)	Федоров К.Е.				
9	Накопитель	113548	Необычные "префиксы" (Hard)	Федоров К.Е.				
10	Добыча нефти	112714	Необычные "префиксы" (Hard)	Федоров К.Е.				
11	Дейкстра	5		Волков М.А.		Учебная		
12	Дейкстра: восстановление пути	6		Волков М.А.		Учебная		
13	Флойд - 1	171		Волков М.А.		Учебная		
14	Самый длинный путь	96		Волков М.А.		Учебная		
15	Автобусы	170		Волков М.А.	Дейкстра	Простая		
16	Флойд - существование	173		Волков М.А.	Флойд, отрицатедьные циклы	Учебная		
17	Форд-Беллман	178		Волков М.А.		Учебная		
18	Лабиринт знаний	179		Волков М.А.	Форд-Беллман, отрицатедьные циклы	Учебная		
19	Сталкер	14		Волков М.А.	0-1 BFS, копирование графа	Сложная		
20	Бусинки	374		Волков М.А.	Диаметр невзвешенного дерева	Учебная		
21	Одностороннее движение	389		Волков М.А.	Мосты	Учебная		
22	Премьер министр	390		Волков М.А.	Точки сочленения	Учебная		
23	Роботы	31	Графы: Основы и BFS	Волков М.А.	BFS	Средняя		
24	Путь	160	Графы: Основы и BFS	Волков М.А.	BFS	Учебная		
25	Один конь	161	Графы: Основы и BFS	Волков М.А.	BFS	Учебная		
26	Табличка	162	Графы: Основы и BFS	Волков М.А.	BFS	Учебная		
27	Военный поход	425		Волков М.А.	Дейкстра	Простая		
28	Ударим мостом по бездорожью	22	Стек и минимум в окне	Волков М.А.	Стек, немного геомы	Средняя		
29	Поврежденный XML	3866	Стек и минимум в окне	Волков М.А.	Стек 	Средняя		
30	Древние династии	111636		Волков М.А.	DP, ДО, очередь с минимумом	Жесть мрак пиздец режут свинью		
31	Магический квадрат	2776	Рекурсивный перебор	Федоров К.Е.				
32	Паровозик из Морошково (BC)	112101	Перебор с отсечением	Федоров К.Е.				
33	Автостоянка	3371	Рекурсивный перебор	Федоров К.Е.				
34	Делители	3208	Рекурсивный перебор	Федоров К.Е.				
35	Змея в метро    	2982		Федоров К.Е.	BFS + отсечения?			
36	Равенство	2970	Рекурсивный перебор	Федоров К.Е.				
37	ЮграНефтеТранс   	2530	Перебор с отсечением	Федоров К.Е.				
38	Легкоатлетический манеж МГУ	1340	Перебор с отсечением	Федоров К.Е.				
39	Информатизация садоводства	1152	Рекурсивный перебор	Федоров К.Е.				
40	Ковролин для минотавра	1131	Рекурсивный перебор	Федоров К.Е.				
41	Захват королевства   	518	Перебор с отсечением	Федоров К.Е.				
42	Быстрые шахматы	41	Рекурсивный перебор	Федоров К.Е.				
43	Шахматный детектив    	191		Федоров К.Е.	ДП + Перебор с отсечением			
44	Почти палиндром	491	Динамическое программирование на подотрезках	Волков М.А.	1			
45	Упаковка символов	691	Динамическое программирование на подотрезках	Волков М.А.	9			
46	Длина максимального подпалиндрома	3130	Динамическое программирование на подотрезках	Волков М.А.	2			
47	Максимальный подпалиндром	1124	Динамическое программирование на подотрезках	Волков М.А.	3			
48	Удаление скобок	1905	Динамическое программирование на подотрезках	Волков М.А.	Разбор 1			
49	Распил брусьев	1906	Динамическое программирование на подотрезках	Волков М.А.	Разбор 2			
50	Оптимальная триангуляция - 1	1908	Динамическое программирование на подотрезках	Волков М.А.	10 - ДП на по, геома			
51	Перекраска полоски	2920	Динамическое программирование на подотрезках	Волков М.А.	7			
52	Игра (BCD)	3344	Динамическое программирование на подотрезках	Волков М.А.	4			
53	Казино	11	Динамическое программирование на подотрезках	Волков М.А.	8			
54	Числа	3717	Динамическое программирование на подотрезках	Волков М.А.	5			
55	Дубы	111485	Динамическое программирование на подотрезках	Волков М.А.	6		ДО:	https://informatics.msk.ru/mod/statements/view.php?id=62834#1
56	Королевское путешествие	1680	Динамическое программирование по подмножествам	Федоров К.Е.				
57	Задача коммивояжёра --- 2	3785	Динамическое программирование по подмножествам	Федоров К.Е.				
58	Horse	3039	Динамическое программирование по подмножествам	Федоров К.Е.				
59	Совершенно секретно	3891	Динамическое программирование по подмножествам	Федоров К.Е.				
60	Генерал Хенрик	113555		Волков М.А.	Преф функция, бор, ДП			
61	Префиксуффикс	114306	Префикс-функция и Z-функция	Волков М.А.	Преф функция			
62	T2005	30		Волков М.А.	Бор			
63	Магические порталы	112751	Графы: DFS. Поиск циклов. Топологическая сортировка	Федоров К.Е.				
64	Подпалиндромы	1750	Префикс-функция и Z-функция	Федоров К.Е.				
65	Обратная префикс-функция (A+)	3353	Префикс-функция и Z-функция	Федоров К.Е.				
66	Симпатичные прямоугольники	1390	Префикс-функция и Z-функция	Федоров К.Е.				
67	Электронное табло	1943	Префикс-функция и Z-функция	Федоров К.Е.				
68	Различные подстроки	111789	Префикс-функция и Z-функция	Федоров К.Е.				
69	Турбулентность	112702	Префикс-функция и Z-функция	Федоров К.Е.				
70	Задачечка на строчечки	111732	Префикс-функция и Z-функция	Федоров К.Е.	Алгоритм Ахо - Корасик			
71	Обувной магазин	111160	Алгоритмы STL	Волков М.А.				
72	Такси	1086	Алгоритмы STL	Волков М.А.				
73	Медиана	112323	Алгоритмы STL	Волков М.А.				
74	Суперсумма	1664	Алгоритмы STL	Волков М.А.				
75	Лучшие друзья девушек - это фуллерены	3580	Алгоритмы STL	Волков М.А.				
76	Анаграммы	1406	Алгоритмы STL	Волков М.А.				
77	Форум	537	Алгоритмы STL	Волков М.А.				
78	Простые числа	611	Решето Эратосфена	Волков М.А.				
79	Простые числа(2)	617	Решето Эратосфена	Волков М.А.				
80	Простое число	973	Решето Эратосфена	Волков М.А.				
81	Суперчисла	1660	Решето Эратосфена	Волков М.А.				
82	Парные числа	1834	Решето Эратосфена	Волков М.А.				
