1	Sum, Count, Min и Max на префиксе и/или суффиксе	1583	Сумма подряд идущих
2	Sum, Count, Min и Max на префиксе и/или суффиксе	114298	Оставь ab
3	Sum, Count, Min и Max на префиксе и/или суффиксе	112735	Клиппи и Мерлин грабят банк
4	Sum, Count, Min и Max на префиксе и/или суффиксе	111121	Торговля акциями
5	Sum, Count, Min и Max на префиксе и/или суффиксе	114301	Маршрут для трекинга
6	Sum, Count, Min и Max на префиксе и/или суффиксе	1584	Отрезок с максимальной суммой
7	Sum, Count, Min и Max на префиксе и/или суффиксе	115079	Дом, который построил Джек
8	Sum, Count, Min и Max на префиксе и/или суффиксе	112099	Воды слонам!
9	Sum, Count, Min и Max на префиксе и/или суффиксе	114570	2022
10	Sum, Count, Min и Max на префиксе и/или суффиксе	114302	Робот и массив
11	Sum, Count, Min и Max на префиксе и/или суффиксе	114904	Никита и CPM-строки
1	Необычные "префиксы" (Hard)	112745	Призы(2015)
2	Необычные "префиксы" (Hard)	112820	Подводная лодка
3	Необычные "префиксы" (Hard)	112714	Добыча нефти
4	Необычные "префиксы" (Hard)	409	Максимальная сумма
5	Необычные "префиксы" (Hard)	112547	НЛО2
6	Необычные "префиксы" (Hard)	113548	Накопитель
7	Необычные "префиксы" (Hard)	3393	Скобки
1	Метод двух указателей	2827	Стильная одежда
2	Метод двух указателей	111975	Город Че
3	Метод двух указателей	112554	Подстрока
4	Метод двух указателей	112560	Красота превыше всего
5	Метод двух указателей	3878	Калитка в заборе
6	Метод двух указателей	1927	Треугольник Максима
7	Метод двух указателей	111634	Робот
8	Метод двух указателей	112532	Держать строй - 3
9	Метод двух указателей	113098	Странные строки
10	Метод двух указателей	600	Цепочка слов
11	Метод двух указателей	1187	Сложите конфетки
12	Метод двух указателей	3394	Школа олимпийского резерва
13	Метод двух указателей	113707	Симпатичные прямоугольники наносят ответный удар
14	Метод двух указателей	3385	Министерство правды
1	Два(?) указателя (Hard)	2817	Стильная одежда-2
2	Два(?) указателя (Hard)	113544	Программирование квадрокоптеров
3	Два(?) указателя (Hard)	112910	Cheese
4	Два(?) указателя (Hard)	1208	Треугольники
5	Два(?) указателя (Hard)	3362	Максимальный квадрат
1	Бинарный поиск	4	Двоичный поиск
2	Бинарный поиск	111728	Левый и правый двоичный поиск
3	Бинарный поиск	3728	Бинарный поиск-2
4	Бинарный поиск	2	Приближенный двоичный поиск
5	Бинарный поиск	111403	Квадратный корень и квадратный квадрат
6	Бинарный поиск	3722	Корень кубического уравнения
7	Бинарный поиск	111404	Мутанты
1	Бинарный поиск по ответу 1	1923	Дипломы
2	Бинарный поиск по ответу 1	490	Очень Легкая Задача
3	Бинарный поиск по ответу 1	111952	Подготовка к олимпиаде
4	Бинарный поиск по ответу 1	113969	Большое треугольное число
5	Бинарный поиск по ответу 1	672	Провода
6	Бинарный поиск по ответу 1	111951	Управляющий совет
7	Бинарный поиск по ответу 1	113097	Космическое поселение
8	Бинарный поиск по ответу 1	112749	Вырубка леса
9	Бинарный поиск по ответу 1	1	Коровы - в стойла
10	Бинарный поиск по ответу 1	1981	Билеты
11	Бинарный поиск по ответу 1	414	Эльфы и олени
12	Бинарный поиск по ответу 1	3331	Мелодия
13	Бинарный поиск по ответу 1	114202	Площадь
1	Бинарный поиск по ответу 2	586	Детский праздник
2	Бинарный поиск по ответу 2	894	Черепаха
3	Бинарный поиск по ответу 2	111734	Загулявшие гости
4	Бинарный поиск по ответу 2	1620	Субботник
5	Бинарный поиск по ответу 2	3380	Лифт
6	Бинарный поиск по ответу 2	114916	Заснеженная стена
7	Бинарный поиск по ответу 2	114189	Лифт в бизнес-центре
1	Рекурсивный перебор	80	Двоичные строки заданной длины
2	Рекурсивный перебор	81	Двоичные строки заданной длины в обратном порядке
3	Рекурсивный перебор	82	Все строки длины n из k различных символов
4	Рекурсивный перебор	83	Все строки длины n из k различных символов, k>10 в обратном порядке
5	Рекурсивный перебор	155	Генератор
6	Рекурсивный перебор	32	Монетки
7	Рекурсивный перебор	84	Все двоичные строки длины n, содержащие ровно k единиц
8	Рекурсивный перебор	88	Все убывающие последовательности длины k из чисел 1..n
9	Рекурсивный перебор	89	Разбиение на невозрастающие слагаемые, лексикографический порядок
10	Рекурсивный перебор	1424	Разложение на множители
11	Рекурсивный перебор	86	Построить из строки следующую анаграмму
12	Рекурсивный перебор	190	По номеру!
13	Рекурсивный перебор	192	По размещению!
14	Рекурсивный перебор	194	Следующая...
15	Рекурсивный перебор	485	Ставки
16	Рекурсивный перебор	3208	Делители
17	Рекурсивный перебор	111858	Простой квадрат
18	Рекурсивный перебор	115074	Меч-кладенец
19	Рекурсивный перебор	41	Быстрые шахматы
20	Рекурсивный перебор	2776	Магический квадрат
21	Рекурсивный перебор	3371	Автостоянка
22	Рекурсивный перебор	2970	Равенство
23	Рекурсивный перебор	1131	Ковролин для минотавра
24	Рекурсивный перебор	1152	Информатизация садоводства
25	Рекурсивный перебор	157	Монетки
1	Динамическое программирование (рекуррентные последовательности)	201	Числа Фибоначи
2	Динамическое программирование (рекуррентные последовательности)	203	Мячик на лесенке
3	Динамическое программирование (рекуррентные последовательности)	842	Последняя цифра числа Фибоначчи
4	Динамическое программирование (рекуррентные последовательности)	843	Простая последовательность
5	Динамическое программирование (рекуррентные последовательности)	844	Хитрая последовательность
6	Динамическое программирование (рекуррентные последовательности)	943	Треугольник Паскаля
7	Динамическое программирование (рекуррентные последовательности)	1767	Треугольник Паскаля
8	Динамическое программирование (рекуррентные последовательности)	112553	Строки Фибоначчи
1	Динамическое программирование (одномерное)	3572	Лесенка: последние цифры
2	Динамическое программирование (одномерное)	112603	Кузнечик-K
3	Динамическое программирование (одномерное)	3575	Опасные ступеньки: количество способов
4	Динамическое программирование (одномерное)	3780	Компьютерная игра (платформы)
5	Динамическое программирование (одномерное)	206	Обход таблицы
6	Динамическое программирование (одномерное)	944	Cамый дешевый путь
7	Динамическое программирование (одномерное)	212	Покупка билетов
8	Динамическое программирование (одномерное)	210	Гвоздики
9	Динамическое программирование (одномерное)	648	Сообщение
10	Динамическое программирование (одномерное)	2962	Ход конем - 2
11	Динамическое программирование (одномерное)	2966	Вывести маршрут максимальной стоимости
1	Динамическое программирование (двумерное)	114303	Любопытная черепаха
2	Динамическое программирование (двумерное)	2998	Плавные числа
3	Динамическое программирование (двумерное)	213	Ход конем
4	Динамическое программирование (двумерное)	113769	Оптимизация акции
